City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Butaritari,KI,82.83,clear sky,3.0707,172.7902,Isles Sunset Lodge
3,Kutum,SD,72.72,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
4,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
7,Port Lincoln,AU,73.87,light rain,-34.7333,135.8667,Port Lincoln Hotel
15,Yendi,GH,72.66,moderate rain,9.4427,-0.0099,Eyarro Lodge
18,Kui Buri,TH,86.0,broken clouds,12.0828,99.8543,Rista House & Resort
19,Nago,JP,81.03,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
22,Rikitea,PF,75.0,light rain,-23.1203,-134.9692,People ThankYou
23,Pemangkat,ID,76.96,overcast clouds,1.1667,108.9667,Ramah Kost KITA
26,Umm Lajj,SA,78.6,clear sky,25.0213,37.2685,Moon light Furnished Units
27,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Savannah Bight,HN,80.01,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
30,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,Hotel Fórum
37,Hilo,US,80.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
39,Souillac,MU,78.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
41,Saint-Pierre,RE,79.57,clear sky,-21.3393,55.4781,Lindsey Hôtel
45,Saint-Philippe,RE,79.48,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
47,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
51,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
52,Kavieng,PG,83.28,light rain,-2.5744,150.7967,Nusa Island Retreat
66,Lastoursville,GA,70.05,moderate rain,-0.8143,12.7287,Auberge Bon Coin 02
70,Grand Gaube,MU,78.39,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
78,Santa Marta,CO,80.65,broken clouds,11.2408,-74.199,Casa de Isabella
83,Itoman,JP,80.98,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
85,Ponta Do Sol,PT,76.71,overcast clouds,32.6667,-17.1,Hotel do Campo
89,Hithadhoo,MV,83.03,broken clouds,-0.6,73.0833,Scoop Guest House
92,Bambous Virieux,MU,78.22,light rain,-20.3428,57.7575,Casa Tia Villa
94,Shimoda,JP,71.1,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
96,Keti Bandar,PK,82.08,clear sky,24.1447,67.4497,Haji laloo memon house
99,Geraldton,AU,70.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
100,Maningrida,AU,93.04,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
105,Atuona,PF,78.15,few clouds,-9.8,-139.0333,Villa Enata
106,Faanui,PF,80.74,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
107,Bougouni,ML,73.31,overcast clouds,11.417,-7.479,Non Stop
108,Qui Nhon,VN,83.05,scattered clouds,13.7667,109.2333,Hoang Yen Canary Hotel
109,Katsuura,JP,71.71,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
113,Hosanagara,IN,77.23,overcast clouds,13.9167,75.0667,Hotel Chalukya
115,Airai,TL,81.52,broken clouds,-8.9266,125.4092,Juvinal Martin
117,Popondetta,PG,87.33,scattered clouds,-8.7537,148.2534,Timos Transit House
127,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
128,Tuy Hoa,VN,83.05,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
131,Codajas,BR,77.07,scattered clouds,-3.8367,-62.0569,Atlântic Hotel
