City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Hami,CN,42.8,93.45,60.8,16,89,10.45,overcast clouds
1,Butaritari,KI,3.0707,172.7902,82.83,65,3,8.66,clear sky
2,Khuzhir,RU,53.1939,107.3397,43.88,60,45,2.98,scattered clouds
3,Kutum,SD,14.2,24.6667,72.72,19,52,18.66,broken clouds
4,Vaini,TO,-21.2,-175.2,78.96,57,75,8.05,broken clouds
5,Kodiak,US,57.79,-152.4072,41.36,88,100,4.43,overcast clouds
6,Narsaq,GL,60.9167,-46.05,37.62,36,0,6.11,clear sky
7,Port Lincoln,AU,-34.7333,135.8667,73.87,43,100,10.94,light rain
8,Qaanaaq,GL,77.484,-69.3632,28.17,95,100,3.29,light snow
9,Henties Bay,NA,-22.116,14.2845,56.86,93,86,10.67,overcast clouds
10,Bredasdorp,ZA,-34.5322,20.0403,58.28,94,3,11.7,clear sky
11,Nelson Bay,AU,-32.7167,152.15,68.11,66,55,4.0,broken clouds
12,Lompoc,US,34.6391,-120.4579,57.13,84,1,3.44,clear sky
13,Gat,IL,31.61,34.7642,68.4,100,100,1.61,overcast clouds
14,San Jose,US,37.3394,-121.895,63.36,49,75,1.01,broken clouds
15,Yendi,GH,9.4427,-0.0099,72.66,96,68,2.24,moderate rain
16,Pisco,PE,-13.7,-76.2167,61.02,82,0,9.22,clear sky
17,Pevek,RU,69.7008,170.3133,18.55,94,100,14.12,overcast clouds
18,Kui Buri,TH,12.0828,99.8543,86.0,67,82,5.39,broken clouds
19,Nago,JP,26.5881,127.9761,81.03,55,66,10.67,broken clouds
20,Punta Arenas,CL,-53.15,-70.9167,51.91,71,0,6.91,clear sky
21,Sapa,PH,5.1544,120.3241,85.24,69,52,6.29,broken clouds
22,Rikitea,PF,-23.1203,-134.9692,75.0,75,2,19.75,light rain
23,Pemangkat,ID,1.1667,108.9667,76.96,87,100,7.0,overcast clouds
24,Albany,US,42.6001,-73.9662,60.4,54,1,13.24,clear sky
25,El Playon,CO,7.4713,-73.2031,69.42,94,39,5.82,scattered clouds
26,Umm Lajj,SA,25.0213,37.2685,78.6,62,0,9.26,clear sky
27,Kapaa,US,22.0752,-159.319,84.18,72,20,14.97,few clouds
28,Savannah Bight,HN,16.45,-85.85,80.01,74,100,14.16,overcast clouds
29,Torbay,CA,47.6666,-52.7314,50.76,96,90,8.05,fog
30,Luanda,AO,-8.8368,13.2343,75.2,83,75,5.75,broken clouds
31,Egvekinot,RU,66.3167,-179.1667,21.56,87,100,12.93,light snow
32,Astoria,US,46.1879,-123.8313,55.29,82,40,3.0,scattered clouds
33,Luderitz,NA,-26.6481,15.1594,57.04,81,41,10.65,scattered clouds
34,Leningradskiy,RU,69.3833,178.4167,26.26,90,100,17.69,light snow
35,Vallenar,CL,-28.5708,-70.7581,57.25,71,50,1.16,scattered clouds
36,Namibe,AO,-15.1961,12.1522,65.3,87,84,3.83,broken clouds
37,Hilo,US,19.7297,-155.09,80.28,75,75,6.91,broken clouds
38,Thompson,CA,55.7435,-97.8558,33.96,60,90,3.44,overcast clouds
39,Souillac,MU,-20.5167,57.5167,78.37,88,40,3.44,light rain
40,Avera,US,33.194,-82.5271,62.47,52,15,4.92,few clouds
41,Saint-Pierre,RE,-21.3393,55.4781,79.57,60,0,4.61,clear sky
42,New Norfolk,AU,-42.7826,147.0587,64.65,34,5,6.98,clear sky
