City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Katsuura,JP,2021-10-12 23:31:25,35.1333,140.3,66.18,88,100,19.86
1,Egvekinot,RU,2021-10-12 23:31:25,66.3167,-179.1667,20.34,83,100,13.11
2,Eugene,US,2021-10-12 23:26:54,44.0521,-123.0867,57.25,54,90,1.01
3,Abha,SA,2021-10-12 23:31:26,18.2164,42.5053,58.82,21,0,0.0
4,Albany,US,2021-10-12 23:29:31,42.6001,-73.9662,65.62,81,17,1.99
5,Castro,BR,2021-10-12 23:31:26,-24.7911,-50.0119,57.92,92,29,4.27
6,Inirida,CO,2021-10-12 23:31:27,3.8653,-67.9239,73.04,94,90,2.51
7,Punta Arenas,CL,2021-10-12 23:31:27,-53.15,-70.9167,55.51,38,90,11.5
8,Te Anau,NZ,2021-10-12 23:31:28,-45.4167,167.7167,44.76,75,84,5.17
9,Ushuaia,AR,2021-10-12 23:31:28,-54.8,-68.3,53.26,43,75,12.66
10,Busselton,AU,2021-10-12 23:31:29,-33.65,115.3333,50.04,71,67,6.96
11,Hobart,AU,2021-10-12 23:27:05,-42.8794,147.3294,57.25,57,75,1.99
12,Jamestown,US,2021-10-12 23:31:30,42.097,-79.2353,71.19,77,90,6.91
13,Hermanus,ZA,2021-10-12 23:31:30,-34.4187,19.2345,60.8,77,86,6.2
14,Provideniya,RU,2021-10-12 23:31:31,64.3833,-173.3,33.91,64,0,8.95
15,Kununurra,AU,2021-10-12 23:29:25,-15.7667,128.7333,84.18,74,60,5.75
16,Butaritari,KI,2021-10-12 23:31:32,3.0707,172.7902,81.41,68,32,7.47
17,Dumbea,NC,2021-10-12 23:31:33,-22.15,166.45,74.98,99,100,6.91
18,Upata,VE,2021-10-12 23:31:33,8.0086,-62.3989,78.13,72,83,4.61
19,Roros,NO,2021-10-12 23:31:34,62.5747,11.3842,31.84,93,90,4.61
20,Qaanaaq,GL,2021-10-12 23:26:35,77.484,-69.3632,27.81,95,98,6.78
21,Geraldton,AU,2021-10-12 23:31:34,-28.7667,114.6,54.01,62,2,11.5
22,Honiara,SB,2021-10-12 23:31:35,-9.4333,159.95,86.85,66,68,5.37
23,Bredasdorp,ZA,2021-10-12 23:31:36,-34.5322,20.0403,60.28,94,100,0.0
24,Waren,DE,2021-10-12 23:31:36,53.5167,12.6833,40.01,90,8,7.0
25,Santa Rosalia,MX,2021-10-12 23:31:37,27.3167,-112.2833,76.55,39,0,5.28
26,Rikitea,PF,2021-10-12 23:31:38,-23.1203,-134.9692,74.28,74,76,9.26
27,Georgetown,MY,2021-10-12 23:26:39,5.4112,100.3354,80.53,88,20,2.3
28,La Ronge,CA,2021-10-12 23:31:38,55.1001,-105.2842,43.02,60,1,3.44
29,Paita,PE,2021-10-12 23:31:39,-5.0892,-81.1144,68.56,83,33,17.74
30,Dargaville,NZ,2021-10-12 23:31:39,-35.9333,173.8833,58.44,51,55,13.58
31,Tilichiki,RU,2021-10-12 23:29:40,60.4667,166.1,24.42,52,89,4.23
32,Padang,ID,2021-10-12 23:31:41,-0.9492,100.3543,73.45,74,57,3.38
33,Andenes,NO,2021-10-12 23:31:41,69.3143,16.1194,39.18,87,100,10.36
34,Arraial Do Cabo,BR,2021-10-12 23:31:41,-22.9661,-42.0278,66.16,100,75,8.05
35,Mataura,NZ,2021-10-12 23:31:42,-46.1927,168.8643,46.83,69,99,6.11
36,Vaini,TO,2021-10-12 23:31:42,-21.2,-175.2,77.16,73,20,8.05
37,Atuona,PF,2021-10-12 23:31:43,-9.8,-139.0333,78.17,72,10,15.93
38,Fereydun Kenar,IR,2021-10-12 23:31:43,36.6864,52.5225,53.91,68,47,5.14
39,Tasiilaq,GL,2021-10-12 23:31:44,65.6145,-37.6368,30.36,54,0,3.13
40,Burnie,AU,2021-10-12 23:31:44,-41.0667,145.9167,54.91,63,99,16.75
41,Ilulissat,GL,2021-10-12 23:31:45,69.2167,-51.1,26.62,74,38,1.14
42,Pangnirtung,CA,2021-10-12 23:31:45,66.1451,-65.7125,42.42,55,86,7.7
43,Hamilton,US,2021-10-12 23:31:01,39.1834,-84.5333,71.04,78,20,1.01
44,Cape Town,ZA,2021-10-12 23:28:08,-33.9258,18.4232,63.27,82,0,1.99
45,Kursumlija,RS,2021-10-12 23:31:46,43.1458,21.2686,46.06,92,100,1.97
46,Wau,SS,2021-10-12 23:31:47,7.7029,27.9953,72.21,94,100,3.31
47,Cidreira,BR,2021-10-12 23:31:47,-30.1811,-50.2056,65.97,91,58,22.5
48,Lebu,CL,2021-10-12 23:31:48,-37.6167,-73.65,51.51,92,25,4.47
49,Leningradskiy,RU,2021-10-12 23:31:48,69.3833,178.4167,22.66,94,100,5.23
50,Bar Harbor,US,2021-10-12 23:27:08,44.3876,-68.2039,64.53,85,1,4.61
51,Kommunisticheskiy,RU,2021-10-12 23:31:49,61.6789,64.4819,35.96,96,100,4.72
52,Harper,LR,2021-10-12 23:31:49,4.375,-7.7169,77.2,90,71,7.36
53,Cherskiy,RU,2021-10-12 23:31:50,68.75,161.3,6.1,89,80,1.61
54,Gizo,SB,2021-10-12 23:30:38,-8.103,156.8419,85.44,68,79,8.77
55,Rocha,UY,2021-10-12 23:31:51,-34.4833,-54.3333,60.26,97,76,5.46
56,Hellvik,NO,2021-10-12 23:31:51,59.9156,5.781,44.78,77,83,3.0
57,Upernavik,GL,2021-10-12 23:31:52,72.7868,-56.1549,33.51,93,97,7.54
58,Hithadhoo,MV,2021-10-12 23:31:53,-0.6,73.0833,83.07,75,100,17.07
59,Puerto Armuelles,PA,2021-10-12 23:31:53,8.2833,-82.8667,78.78,89,48,9.01
60,Ponnani,IN,2021-10-12 23:31:54,10.767,75.9252,72.72,91,100,2.77
61,Ewa Beach,US,2021-10-12 23:31:54,21.3156,-158.0072,87.75,65,75,13.8
62,Quatre Cocos,MU,2021-10-12 23:31:55,-20.2078,57.7625,72.09,89,4,4.92
63,Sobolevo,RU,2021-10-12 23:31:55,54.4299,31.8996,43.97,87,100,2.71
64,Mount Gambier,AU,2021-10-12 23:31:56,-37.8333,140.7667,57.11,67,40,16.11
65,Solnechnyy,RU,2021-10-12 23:31:56,50.7214,136.6319,49.33,64,100,4.94
66,Bluff,NZ,2021-10-12 23:31:57,-46.6,168.3333,46.24,68,100,14.14
67,Muros,ES,2021-10-12 23:27:15,42.7762,-9.0603,66.83,81,2,7.25
68,Namioka,JP,2021-10-12 23:31:58,40.7072,140.5894,65.75,82,20,2.3
69,Vanimo,PG,2021-10-12 23:31:58,-2.6741,141.3028,83.82,78,23,5.57
70,Fortuna,US,2021-10-12 23:27:39,40.5982,-124.1573,67.48,53,1,4.0
71,Atikokan,CA,2021-10-12 23:31:59,48.7555,-91.6216,51.85,69,12,4.79
72,Puerto Ayora,EC,2021-10-12 23:31:59,-0.7393,-90.3518,70.56,87,58,5.99
73,Okha,RU,2021-10-12 23:32:00,53.5739,142.9478,47.53,76,100,11.77
74,Lima,PE,2021-10-12 23:27:20,-12.0432,-77.0282,62.91,81,90,14.97
75,Karratha,AU,2021-10-12 23:27:36,-20.7377,116.8463,76.95,18,1,22.79
76,Waddan,LY,2021-10-12 23:32:01,29.1614,16.139,65.8,53,10,3.47
77,New Norfolk,AU,2021-10-12 23:32:02,-42.7826,147.0587,57.92,52,100,3.0
78,Soto La Marina,MX,2021-10-12 23:32:03,23.7667,-98.2167,85.77,80,40,16.02
79,Nemuro,JP,2021-10-12 23:32:03,43.3236,145.575,55.31,68,0,8.32
80,Rawson,AR,2021-10-12 23:32:04,-43.3002,-65.1023,63.18,52,70,21.72
81,Samarai,PG,2021-10-12 23:32:05,-10.6167,150.6667,82.02,77,46,6.82
82,Astana,KZ,2021-10-12 23:32:05,51.1801,71.446,35.55,64,0,6.71
83,San Policarpo,PH,2021-10-12 23:28:22,12.1791,125.5072,81.16,78,100,7.49
84,Nanortalik,GL,2021-10-12 23:32:06,60.1432,-45.2371,39.47,76,4,1.3
85,Avarua,CK,2021-10-12 23:32:07,-21.2078,-159.775,78.85,65,26,13.8
86,Luderitz,NA,2021-10-12 23:32:07,-26.6481,15.1594,63.66,63,62,4.38
87,Labuhan,ID,2021-10-12 23:32:08,-6.8844,112.2051,80.65,66,97,11.16
88,Severo-Kurilsk,RU,2021-10-12 23:32:08,50.6789,156.125,47.52,75,22,16.64
89,Barrow,US,2021-10-12 23:32:09,71.2906,-156.7887,30.22,80,90,19.57
90,Ovalle,CL,2021-10-12 23:32:09,-30.5983,-71.2003,57.54,65,99,6.38
91,Casambalangan,PH,2021-10-12 23:32:10,18.3765,122.1274,82.71,82,100,6.02
92,Ponta Do Sol,PT,2021-10-12 23:32:10,32.6667,-17.1,70.72,73,29,2.42
